者無,23
者所,23
者彼,23
福雖,23
福德,23
知彼,23
生歡,23
獲福,23
無常,23
漢果,23
淨心,23
此正,23
有是,23
是若,23
數劫,23
故所,23
提故,23
念思,23
如說,23
如前,23
大海,23
多爾,23
切世,23
佛說,23
住如,23
不隨,23
離一,22
趣無,22
說如,22
言般,22
覺了,22
行不,22
薩已,22
自然,22
者我,22
者何,22
相不,22
異生,22
界一,22
生是,22
現世,22
法趣,22
汝善,22
是迴,22
是大,22
我亦,22
復若,22
彼善,22
彼不,22
尊我,22
學般,22
如我,22
多有,22
善法,22
問其,22
告帝,22
作無,22
住大,22
以無,22
以其,22
事復,22
不著,22
不作,22
障礙,21
門時,21
趣即,21
說行,21
說已,21
說不,21
說一,21
語言,21
薩復,21
薩一,21
稱計,21
福行,21
神力,21
眼不,21
當以,21
生信,21
流布,21
氏菩,21
樂說,21
所宣,21
性清,21
心而,21
彼法,21
實知,21
多經,21
地解,21
含阿,21
向者,21
前所,21
其中,21
以佛,21
人所,21
二無,21
且置,21
一日,21
餘菩,20
那庾,20
迦當,20
趣是,20
薩眾,20
薩為,20
若心,20
能一,20
而生,20
知見,20
相故,20
發菩,20
當修,20
界諸,20
生於,20
生作,20
無去,20
為大,20
法若,20
法以,20
汝等,20
求般,20
智法,20
是須,20
故名,20
故又,20
提汝,20
慢心,20
心得,20
得心,20
得何,20
庾多,20
已於,20
實迴,20
子若,20
如即,20
大洲,20
大地,20
多行,20
多能,20
多修,20
受讀,20
來舍,20
來生,20
何法,20
人不,20
亦名,20
事不,20
不斷,20
上妙,20
三十,20
轉地,19
諸疑,19
說或,19
覺地,19
行菩,19
薩欲,19
若能,19
能盡,19
胝那,19
聽法,19
而無,19
者如,19
當如,19
生清,19
理修,19
無願,19
無得,19
法即,19
此菩,19
根如,19
有具,19
最極,19
時諸,19
時不,19
於般,19
於現,19
於先,19
於佛,19
故色,19
所退,19
所觀,19
性無,19
念此,19
心離,19
復白,19
往彼,19
如世,19
多須,19
勸他,19
何彼,19
住真,19
人能,19
人受,19
中所,19
中亦,19
速證,18
轉勸,18
諸緣,18
說諸,18
說此,18
說修,18
覺已,18
薩應,18
薩善,18
能以,18
而返,18
而得,18
義於,18
禮稱,18
當云,18
界若,18
無礙,18
為行,18
為彼,18
淨信,18
法時,18
此善,18
欲成,18
棄捨,18
有情,18
是緣,18
是於,18
於法,18
方處,18
方無,18
散亂,18
故世,18
提以,18
所畏,18
所分,18
或復,18
心菩,18
復於,18
復以,18
子此,18
妙衣,18
受不,18
取證,18
即非,18
加持,18
切佛,18
其受,18
依止,18
今此,18
人阿,18
亦然,18
中路,18
不沒,18
不念,18
不墮,18
上最,18
養法,17
難得,17
間天,17
門而,17
諸三,17
說菩,17
言離,17
觀察,17
覺果,17
見彼,17
行受,17
色界,17
自所,17
聞般,17
而來,17
等法,17
空不,17
知諸,17
知者,17
知心,17
生若,17
生者,17
生此,17
甚難,17
為求,17
深法,17
深正,17
法空,17
法真,17
此為,17
此人,17
欲得,17
欲令,17
有退,17
有大,17
時佛,17
數無,17
故舍,17
所著,17
心為,17
得諸,17
廣為,17
已不,17
尚不,17
尊所,17
天王,17
多生,17
可量,17
可數,17
即如,17
切諸,17
來不,17
何名,17
住色,17
住世,17
人即,17
人使,17
五蘊,17
事故,17
之地,17
不佛,17
難解,16
量阿,16
轉者,16
轉於,16
識亦,16
證得,16
說學,16
誦此,16
言菩,16
見不,16
行於,16
蓋上,16
著是,16
若一,16
能生,16
聞作,16
者諸,16
者乃,16
竟離,16
空寂,16
究竟,16
知如,16
知其,16
眾各,16
真遠,16
皆從,16
界普,16
生離,16
珍寶,16
然智,16
無壞,16
無動,16
滿中,16
洹果,16
法眼,16
法界,16
根及,16
東行,16
有異,16
有如,16
有世,16
智不,16
時彼,16
日中,16
於色,16
於爾,16
於我,16
故阿,16
提能,16
提爾,16
提云,16
持作,16
所稱,16
所不,16
應生,16
怖畏,16
念者,16
心發,16
心是,16
德迴,16
復阿,16
得見,16
得名,16
寶塔,16
學一,16
天中,16
大無,16
大悲,16
夜中,16
多最,16
多方,16
多分,16
即以,16
勤求,16
勇猛,16
別無,16
便所,16
作意,16
伺得,16
令眾,16
事又,16
久住,16
不知,16
不疑,16
魔眾,15
魔所,15
顯示,15
離行,15
際憍,15
阿僧,15
門不,15
邊當,15
道汝,15
返於,15
轉復,15
諸苦,15
誦般,15
誦生,15
言希,15
行若,15
薩有,15
著無,15
若時,15
能速,15
能得,15
能修,15
聚落,15
者阿,15
者能,15
者有,15
羅華,15
等諸,15
等事,15
空故,15
稱量,15
盡一,15
白須,15
界無,15
生非,15
生得,15
煩惱,15
無異,15
為般,15
為無,15
為智,15
滿三,15
滅而,15
滅不,15
法須,15
法為,15
法及,15
況有,15
毀謗,15
樂一,15
果不,15
有邊,15
最妙,15
智果,15
時須,15
時能,15
時一,15
